task,time(sec),output_data (Kbit)
localpro,15,986.736
aggregate0,15,701.92
aggregate1,15,127.048
aggregate2,15,157.768
simpledetector0,15,7.6160000000000005
simpledetector1,15,7.6160000000000005
simpledetector2,15,7.168
astutedetector0,15,4.152
astutedetector1,15,3.48
astutedetector2,15,4.704
fusioncenter0,10,1.096
fusioncenter1,10,0.664
fusioncenter2,10,0.992
globalfusion,10,1.424
