home k8sworkersb-ubuntu-s-4vcpu-8gb-0-nyc1 
node89 k8sworkersb-ubuntu-s-4vcpu-8gb-88-fra1 
node90 k8sworkersb-ubuntu-s-4vcpu-8gb-89-fra1 
node91 k8sworkersb-ubuntu-s-4vcpu-8gb-90-lon1 
node92 k8sworkersb-ubuntu-s-4vcpu-8gb-91-nyc3 
node93 k8sworkersb-ubuntu-s-4vcpu-8gb-92-ams3 
node94 k8sworkersb-ubuntu-s-4vcpu-8gb-93-tor1 
node95 k8sworkersb-ubuntu-s-4vcpu-8gb-94-fra1 
node96 k8sworkersb-ubuntu-s-4vcpu-8gb-95-tor1 
node97 k8sworkersb-ubuntu-s-4vcpu-8gb-96-tor1 
node98 k8sworkersb-ubuntu-s-4vcpu-8gb-97-fra1 
node99 k8sworkersb-ubuntu-s-4vcpu-8gb-98-lon1 
node100 k8sworkersb-ubuntu-s-4vcpu-8gb-99-sgp1 
