Task_name  local_input_file Enter_time Execute_time Finish_time Elapse_time Duration_time Waiting_time 
fusioncenter2 1anomalies 1545073679.528472 1545073679.896733 1545073690.2255406 10.697068691253662 10.328807592391968 0.36826109886169434
simpledetector2 2merged    1545073776.279851 1545073776.2861638 1545073791.321585 15.041733980178833 15.035421133041382 0.006312847137451172
aggregate0 1split     1545073642.746673 1545073643.0752864 1545073658.3787074 15.632034301757812 15.303421020507812 0.32861328125
fusioncenter0 2anomalies 1545073792.235701 1545073794.9712498 1545073805.2970936 13.061392545700073 10.325843811035156 2.735548734664917
astutedetector2 1merged    1545073661.7772174 1545073661.7904034 1545073676.8984866 15.121269226074219 15.108083248138428 0.013185977935791016
aggregate1 1split     1545073644.5796826 1545073644.757956 1545073659.9454653 15.365782737731934 15.187509298324585 0.17827343940734863
localpro   1botnet    1545073624.7532806 1545073624.7693248 1545073639.803796 15.050515413284302 15.034471273422241 0.016044139862060547
astutedetector2 2merged    1545073776.5616095 1545073776.5664346 1545073791.7003067 15.138697147369385 15.133872032165527 0.004825115203857422
fusioncenter1 1anomalies 1545073678.3965356 1545073679.9186182 1545073689.9511235 11.554587841033936 10.03250527381897 1.5220825672149658
aggregate2 2split     1545073759.983238 1545073760.0002897 1545073775.0385919 15.055353879928589 15.038302183151245 0.01705169677734375
fusioncenter0 1anomalies 1545073677.3155875 1545073680.1513877 1545073690.4566903 13.14110279083252 10.305302619934082 2.8358001708984375
astutedetector0 2merged    1545073776.9079683 1545073776.912616 1545073792.0776725 15.16970419883728 15.165056467056274 0.004647731781005859
fusioncenter1 2anomalies 1545073793.2158117 1545073794.7237206 1545073804.7618318 11.546020030975342 10.038111209869385 1.507908821105957
fusioncenter2 2anomalies 1545073794.3206418 1545073794.704025 1545073805.0387847 10.718142986297607 10.334759712219238 0.38338327407836914
localpro   2botnet    1545073739.824055 1545073739.8282044 1545073754.8564758 15.032420873641968 15.028271436691284 0.004149436950683594
astutedetector1 1merged    1545073663.548045 1545073663.559262 1545073678.6708472 15.122802257537842 15.111585140228271 0.011217117309570312
astutedetector0 1merged    1545073662.122127 1545073662.144612 1545073677.289872 15.167744874954224 15.145259857177734 0.022485017776489258
globalfusion 2fusion    1545073805.9024053 1545073808.2209804 1545073818.2540967 12.351691484451294 10.033116340637207 2.318575143814087
simpledetector0 1merged    1545073660.033254 1545073660.3591964 1545073675.695186 15.661931991577148 15.335989475250244 0.3259425163269043
astutedetector1 2merged    1545073778.3543231 1545073778.3598537 1545073793.476089 15.121765851974487 15.116235256195068 0.005530595779418945
simpledetector0 2merged    1545073774.9603922 1545073775.2780516 1545073790.6289914 15.668599128723145 15.350939750671387 0.3176593780517578
aggregate0 2split     1545073757.6595304 1545073757.993466 1545073773.317478 15.657947540283203 15.324012041091919 0.3339354991912842
globalfusion 1fusion    1545073691.1322956 1545073693.3105855 1545073703.3449142 12.212618589401245 10.034328699111938 2.1782898902893066
simpledetector2 1merged    1545073661.485302 1545073661.4967742 1545073676.5239866 15.038684606552124 15.027212381362915 0.011472225189208984
aggregate1 2split     1545073759.4273515 1545073759.5988948 1545073774.7851589 15.357807397842407 15.186264038085938 0.17154335975646973
simpledetector1 2merged    1545073776.9234357 1545073776.928288 1545073791.9605215 15.037085771560669 15.032233476638794 0.004852294921875
simpledetector1 1merged    1545073662.1087313 1545073662.119761 1545073677.1492538 15.040522575378418 15.029492855072021 0.011029720306396484
aggregate2 1split     1545073645.1500685 1545073645.1829689 1545073660.2219408 15.071872234344482 15.038971900939941 0.032900333404541016
