Task_name  local_input_file Enter_time Execute_time Finish_time Elapse_time Duration_time Waiting_time 
task1      1botnet    1540875546.828975 1540875546.83942 1540875546.8491843 0.020209312438964844 0.00976419448852539 0.010445117950439453
task2      2botnet    1540875582.9785585 1540875582.982944 1540875582.9963212 0.01776266098022461 0.013377189636230469 0.004385471343994141
task3      1botnet    1540875548.1270854 1540875548.1355124 1540875548.1428614 0.01577591896057129 0.0073490142822265625 0.008426904678344727
task1      2botnet    1540875581.830483 1540875581.8340473 1540875581.8438127 0.013329744338989258 0.009765386581420898 0.0035643577575683594
task4      1botnet    1540875549.139226 1540875549.27765 1540875549.2858868 0.14666080474853516 0.00823664665222168 0.13842415809631348
task3      2botnet    1540875583.1104212 1540875583.114161 1540875583.1224172 0.011996030807495117 0.008256196975708008 0.0037398338317871094
task2      1botnet    1540875547.9875717 1540875547.9976397 1540875548.0052269 0.017655134201049805 0.0075871944427490234 0.010067939758300781
task4      2botnet    1540875584.130366 1540875584.2590234 1540875584.2676828 0.13731670379638672 0.00865936279296875 0.12865734100341797
