Task_name  local_input_file Enter_time Execute_time Finish_time Elapse_time Duration_time Waiting_time 
task2      2botnet    1540857320.411471 1540857320.415551 1540857320.4245796 0.01310873031616211 0.00902867317199707 0.004080057144165039
task4      1botnet    1540857286.5352404 1540857286.6822205 1540857286.691221 0.15598058700561523 0.009000539779663086 0.14698004722595215
task2      1botnet    1540857285.371924 1540857285.3818834 1540857285.3907006 0.018776655197143555 0.008817195892333984 0.00995945930480957
task1      2botnet    1540857319.2502844 1540857319.255557 1540857319.2675533 0.017268896102905273 0.011996269226074219 0.005272626876831055
task3      2botnet    1540857320.5472329 1540857320.5517616 1540857320.5591612 0.011928319931030273 0.007399559020996094 0.00452876091003418
task4      2botnet    1540857321.606233 1540857321.6937125 1540857321.7009337 0.09470081329345703 0.007221221923828125 0.0874795913696289
task3      1botnet    1540857285.5154738 1540857285.526676 1540857285.5352807 0.019806861877441406 0.008604764938354492 0.011202096939086914
task1      1botnet    1540857284.2235453 1540857284.2315695 1540857284.2431004 0.019555091857910156 0.011530876159667969 0.008024215698242188
