Task_name  local_input_file Enter_time Execute_time Finish_time Elapse_time Duration_time Waiting_time 
task2      1botnet    1540860234.7997139 1540860234.8096461 1540860234.8191981 0.019484281539916992 0.009552001953125 0.009932279586791992
task1      2botnet    1540860268.7223747 1540860268.726652 1540860268.7354798 0.013105154037475586 0.008827924728393555 0.004277229309082031
task4      1botnet    1540860235.9513865 1540860236.0784822 1540860236.0878167 0.1364302635192871 0.009334564208984375 0.12709569931030273
task1      1botnet    1540860233.654878 1540860233.6642551 1540860233.6715584 0.016680479049682617 0.0073032379150390625 0.009377241134643555
task4      2botnet    1540860271.0523505 1540860271.1750052 1540860271.1836464 0.13129591941833496 0.008641242980957031 0.12265467643737793
task3      1botnet    1540860234.9391181 1540860234.9460855 1540860234.9525979 0.01347970962524414 0.00651240348815918 0.006967306137084961
task2      2botnet    1540860269.9027798 1540860269.9070835 1540860269.915694 0.012914180755615234 0.00861048698425293 0.004303693771362305
task3      2botnet    1540860270.0305948 1540860270.0351632 1540860270.0431702 0.012575387954711914 0.008007049560546875 0.004568338394165039
