Task_name  local_input_file Enter_time Execute_time Finish_time Elapse_time Duration_time Waiting_time 
fusioncenter0 2anomalies 1544654306.904014 1544654307.2995293 1544654317.325415 10.421400785446167 10.025885581970215 0.39551520347595215
localpro   1botnet    1544654153.0861242 1544654153.1010973 1544654168.1411176 15.054993391036987 15.040020227432251 0.014973163604736328
simpledetector0 2merged    1544654290.4861665 1544654290.5180264 1544654305.5770047 15.090838193893433 15.05897831916809 0.0318598747253418
aggregate1 1split     1544654169.6336405 1544654169.6436694 1544654184.6666079 15.032967329025269 15.02293848991394 0.010028839111328125
aggregate2 1split     1544654169.9420602 1544654169.9655833 1544654185.0156925 15.07363224029541 15.050109148025513 0.02352309226989746
astutedetector0 1merged    1544654186.1294465 1544654186.1689076 1544654201.348322 15.218875408172607 15.17941427230835 0.03946113586425781
astutedetector1 2merged    1544654290.7145336 1544654290.7201574 1544654305.8164847 15.101951122283936 15.096327304840088 0.005623817443847656
simpledetector2 1merged    1544654186.1782968 1544654186.2152307 1544654201.2574282 15.079131364822388 15.042197465896606 0.03693389892578125
simpledetector2 2merged    1544654290.845958 1544654290.8621671 1544654305.9028728 15.056914806365967 15.040705680847168 0.016209125518798828
fusioncenter1 1anomalies 1544654202.0447893 1544654202.3159266 1544654212.3338675 10.28907823562622 10.017940998077393 0.2711372375488281
astutedetector2 2merged    1544654291.030866 1544654291.0468252 1544654306.1687727 15.137906789779663 15.121947526931763 0.01595926284790039
aggregate0 2split     1544654274.1391773 1544654274.16881 1544654289.2166793 15.077502012252808 15.047869443893433 0.029632568359375
globalfusion 1fusion    1544654213.4681988 1544654213.975598 1544654223.9932768 10.525078058242798 10.01767873764038 0.507399320602417
globalfusion 2fusion    1544654318.139013 1544654318.655756 1544654328.6759136 10.536900520324707 10.0201575756073 0.5167429447174072
astutedetector1 1merged    1544654186.0346215 1544654186.048661 1544654201.173304 15.13868260383606 15.124643087387085 0.01403951644897461
fusioncenter1 2anomalies 1544654306.7718081 1544654306.9520779 1544654316.9653 10.19349193572998 10.013222217559814 0.18026971817016602
aggregate1 2split     1544654274.3651857 1544654274.3692682 1544654289.3938427 15.028656959533691 15.024574518203735 0.004082441329956055
astutedetector2 1merged    1544654186.4056463 1544654186.4329274 1544654201.552181 15.14653468132019 15.119253635406494 0.02728104591369629
astutedetector0 2merged    1544654290.7611902 1544654290.7927122 1544654305.9501846 15.188994407653809 15.157472372055054 0.03152203559875488
fusioncenter2 1anomalies 1544654202.455829 1544654202.703298 1544654212.7352667 10.279437780380249 10.031968593597412 0.24746918678283691
fusioncenter0 1anomalies 1544654202.252362 1544654202.6698983 1544654212.6904953 10.438133239746094 10.020596981048584 0.41753625869750977
simpledetector1 2merged    1544654290.5669534 1544654290.5716274 1544654305.5972123 15.030258893966675 15.025584936141968 0.004673957824707031
simpledetector1 1merged    1544654185.8709884 1544654185.881331 1544654200.8975494 15.02656102180481 15.016218423843384 0.010342597961425781
aggregate2 2split     1544654274.620288 1544654274.637071 1544654289.6739473 15.053659439086914 15.036876440048218 0.01678299903869629
localpro   2botnet    1544654257.8637617 1544654257.8719175 1544654272.901405 15.037643432617188 15.029487609863281 0.00815582275390625
aggregate0 1split     1544654169.4019287 1544654169.4323258 1544654184.4745474 15.07261872291565 15.042221546173096 0.03039717674255371
fusioncenter2 2anomalies 1544654307.0471754 1544654307.2989192 1544654317.342351 10.295175552368164 10.043431758880615 0.25174379348754883
simpledetector0 1merged    1544654185.7922902 1544654185.8305726 1544654200.896152 15.103861808776855 15.065579414367676 0.03828239440917969
