Task_name  local_input_file Enter_time Execute_time Finish_time Elapse_time Duration_time Waiting_time 
simpledetector0 2merged    1544655691.8444586 1544655691.8500724 1544655706.8857288 15.04127025604248 15.035656452178955 0.005613803863525391
simpledetector2 2merged    1544655692.1534147 1544655692.158149 1544655707.1861763 15.032761573791504 15.028027296066284 0.0047342777252197266
simpledetector2 1merged    1544655587.0258908 1544655587.036064 1544655602.0575895 15.03169870376587 15.021525621414185 0.01017308235168457
astutedetector2 1merged    1544655587.2028015 1544655587.2166774 1544655602.3481402 15.145338773727417 15.131462812423706 0.013875961303710938
astutedetector0 2merged    1544655692.0872974 1544655692.1235735 1544655707.304974 15.217676639556885 15.181400537490845 0.03627610206604004
globalfusion 1fusion    1544655614.4508905 1544655614.7022052 1544655624.7241452 10.273254632949829 10.021939992904663 0.251314640045166
globalfusion 2fusion    1544655719.5386007 1544655719.7799766 1544655729.7974648 10.258864164352417 10.017488241195679 0.24137592315673828
fusioncenter2 1anomalies 1544655603.2155485 1544655603.5354838 1544655613.5550873 10.339538812637329 10.019603490829468 0.31993532180786133
aggregate0 2split     1544655675.6401837 1544655675.646155 1544655690.6711104 15.030926704406738 15.02495527267456 0.005971431732177734
localpro   1botnet    1544655554.3185058 1544655554.3315558 1544655569.3708751 15.052369356155396 15.039319276809692 0.013050079345703125
fusioncenter1 1anomalies 1544655603.0679874 1544655603.297395 1544655613.3111677 10.243180274963379 10.01377272605896 0.22940754890441895
simpledetector0 1merged    1544655586.693993 1544655586.7084258 1544655601.760492 15.06649899482727 15.052066326141357 0.014432668685913086
aggregate0 1split     1544655570.5167124 1544655570.5300953 1544655585.5534291 15.03671669960022 15.02333378791809 0.013382911682128906
aggregate2 1split     1544655570.8422117 1544655570.8581984 1544655585.8859508 15.043739080429077 15.02775239944458 0.01598668098449707
simpledetector1 2merged    1544655691.969704 1544655691.975384 1544655706.9984 15.028696060180664 15.023015975952148 0.005680084228515625
fusioncenter1 2anomalies 1544655708.1707122 1544655708.3831503 1544655718.400978 10.230265855789185 10.01782774925232 0.21243810653686523
fusioncenter0 2anomalies 1544655708.0812159 1544655708.5429752 1544655718.5627534 10.481537580490112 10.01977825164795 0.4617593288421631
localpro   2botnet    1544655659.4242082 1544655659.428357 1544655674.4617236 15.03751540184021 15.033366680145264 0.004148721694946289
aggregate2 2split     1544655675.960838 1544655675.9652822 1544655690.9844568 15.023618698120117 15.019174575805664 0.004444122314453125
astutedetector1 1merged    1544655586.9865794 1544655586.995498 1544655602.1297638 15.143184423446655 15.134265899658203 0.008918523788452148
astutedetector1 2merged    1544655692.1104114 1544655692.1149662 1544655707.2163541 15.105942726135254 15.101387977600098 0.00455474853515625
simpledetector1 1merged    1544655586.8463237 1544655586.858213 1544655601.8767378 15.03041410446167 15.018524885177612 0.011889219284057617
fusioncenter0 1anomalies 1544655602.9701443 1544655603.4550273 1544655613.4741096 10.503965377807617 10.019082307815552 0.48488306999206543
aggregate1 1split     1544655570.668514 1544655570.680642 1544655585.703059 15.034544944763184 15.022417068481445 0.012127876281738281
astutedetector2 2merged    1544655692.3375437 1544655692.3429039 1544655707.441992 15.104448318481445 15.099088191986084 0.005360126495361328
aggregate1 2split     1544655675.8196385 1544655675.824461 1544655690.8345044 15.01486587524414 15.010043382644653 0.004822492599487305
fusioncenter2 2anomalies 1544655708.323966 1544655708.5776348 1544655718.5979483 10.273982286453247 10.020313501358032 0.25366878509521484
astutedetector0 1merged    1544655586.963488 1544655587.004103 1544655602.2030513 15.239563226699829 15.198948383331299 0.04061484336853027
