Task_name  local_input_file Enter_time Execute_time Finish_time Elapse_time Duration_time Waiting_time 
task4      1botnet    1540856594.7030177 1540856594.8428035 1540856594.85083 0.1478123664855957 0.008026599884033203 0.1397857666015625
task2      1botnet    1540856593.5512779 1540856593.5622025 1540856593.571156 0.019878149032592773 0.008953571319580078 0.010924577713012695
task1      2botnet    1540856627.3978133 1540856627.4016833 1540856627.4092839 0.011470556259155273 0.007600545883178711 0.0038700103759765625
task3      1botnet    1540856593.6896791 1540856593.7008393 1540856593.708489 0.018809795379638672 0.007649660110473633 0.011160135269165039
task2      2botnet    1540856628.5863783 1540856628.592336 1540856628.6010687 0.014690399169921875 0.008732795715332031 0.005957603454589844
task4      2botnet    1540856629.7314434 1540856629.902789 1540856629.9111886 0.17974519729614258 0.008399486541748047 0.17134571075439453
task3      2botnet    1540856628.7148585 1540856628.7194066 1540856628.7288334 0.013974905014038086 0.00942683219909668 0.004548072814941406
task1      1botnet    1540856592.402053 1540856592.4095314 1540856592.4183192 0.0162661075592041 0.008787870407104492 0.007478237152099609
